CLASS,DATE,START_TIME,END_TIME,COLOR,ACTIVITY
ISP,2/13/2024,,,,Week 1 - Vocabulary Web
ISP,2/13/2024,,,,Week 1 - Packet
ISP,2/13/2024,,,,Week 1 - Crossword
ISP,2/13/2024,,,,Week 2 - Vocabulary Web
ISP,2/13/2024,,,,Week 2 - Packet
ISP,2/13/2024,,,,Week 2 - Crossword
ACI 2+,2/13/2024,,,,Newspaper Article
ACI 2+,2/13/2024,,,,Break
ACI 2+,2/13/2024,,,,Project with Groups
Coding,2/13/2024,,,,Finish Book No. 12
Coding,2/13/2024,,,FFA500,Extra Activity
Coding,2/13/2024,,,FFA500,Bit
Coding,2/13/2024,,,FFA500,iPad
