CLASS,DATE,START_TIME,END_TIME,COLOR,ACTIVITY
ISP,1/14/2024,,,,Reading Leader
ISP,1/14/2024,,,,Independent Work
ACI 2+,1/14/2024,,,,[OB] Novel Study
ACI 2+,1/14/2024,,,,Break
ACI 2+,1/14/2024,,,,Vocab. Quiz
ACI 2+,1/14/2024,,,,Finish Novel Study
ACI 2+,1/14/2024,,,,Grammar
ACI 4+,1/14/2024,,,,TOEFL Junior
ACI 4+,1/14/2024,,,,Writing
ACI 4+,1/14/2024,,,,Break
ACI 4+,1/14/2024,,,,Vocab. Quiz
ACI 4+,1/14/2024,,,,Novel Study
Bridges,1/14/2024,,,,Move to OB to play the board games
Bridges,1/14/2024,,,,Writing
Bridges,1/14/2024,,,,Break
Bridges,1/14/2024,,,,Vocab. Quiz
Bridges,1/14/2024,,,,Novel Study
